DAC,DACbinary,Ctest,Rtest,DCpulser,DCpulser2,in Ctest,Amplitude,,,
89,0b0-1-011001,0,1,200.1,192.4,,92.3,,4.935828877,
89,0b0-1-011001,0,0,204.2,184.7,,94.5,,4.732098147,
89,0b0-1-011001,1,1,195.1,192.8,,18.7,,,
89,0b0-1-011001,1,0,203.8,188.9,,19.97,,,
25,0b0-0-011001,0,1,47.8,40.1,,25.9,,3.753623188,5.627118644
25,0b0-0-011001,0,0,57.1,37.6,,30.3,,3.443181818,5.747538048
25,0b0-0-011001,1,1,42.1,39.8,,6.9,,,
25,0b0-0-011001,1,0,54.2,39.3,,8.8,,,
110,0b0-1-101110,0,1,369,361.3,,175,,5.737704918,7.008474576
110,0b0-1-101110,0,0,374,354.5,,173.9,,5.485804416,6.768968457
110,0b0-1-101110,1,1,364,361.7,,30.5,,,
110,0b0-1-101110,1,0,373,358.1,,31.7,,,
127,0b0-1-111111,0,1,506,,,227.9,,5.888888889,6.78
127,0b0-1-111111,0,0,511,,,217.9,,5.4475,6.160758862
127,0b0-1-111111,1,1,501.4,,,38.7,,,
127,0b0-1-111111,1,0,510,,,40,,,
12,0b-0-0-001100,0,1,26,,,14.6,,3.65,4.935828877
12,0b-0-0-001100,0,0,37,,,19.8,,4.95,4.732098147
12,0b-0-0-001100,1,1,20.4,,,4,,,
12,0b-0-0-001100,1,0,33.1,,,4,,,
0,0,0,1,7.7,,,,,,
0,0,0,0,19.5,,,,,,
0,0,1,1,2.3,,,,,,
0,0,1,0,14.9,,,,,,    
64,0,0,1,7.4,,,,,,
64,0,0,0,18.7,,,,,,
64,0,1,1,2.4,,,,,,
64,0,1,0,14.3,,,,,,    
